Type,Price,Price Category,Bedrooms,Bathrooms,Area,Area Category,Furnished,Level,Payment_Option,Delivery_Term,City
Studio,1236000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,1,1,60,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash or Installment,Semi Finished,Kenz
Apartment,450000,Less Than or Equal to Q1 ( 1200000 ) ,2,2,132,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Installment,Finished,Fifth Square
Apartment,3650000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,2,300,Greater Than Q3 (  200  ) ,No,7,Cash,Finished,Dokki
Apartment,1150000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,195,Between Q2(  160  )  and Q3 (  200  ) ,No,5,Cash,Finished,Hadayek al-Ahram
Apartment,1806000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,4,3,210,Greater Than Q3 (  200  ) ,No,3,Cash or Installment,Semi Finished,6th of October
Apartment,4600000,Greater Than Q3 ( 4100000 ) ,2,1,130,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Installment,Semi Finished,6th of October
Apartment,4000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,164,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash,Finished,Sheikh Zayed
Apartment,1375000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,1,115,Less Than or Equal to Q1 ( 127  ) ,No,8,Cash,Finished,Sidi Beshr
Apartment,1900000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,160,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash,Finished,6th of October
Apartment,2750000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,175,Between Q2(  160  )  and Q3 (  200  ) ,No,1,Cash,Finished,Sheikh Zayed
Penthouse,4870000,Greater Than Q3 ( 4100000 ) ,4,3,295,Greater Than Q3 (  200  ) ,No,3,Cash or Installment,Finished,Isola
Apartment,710000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,74,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash or Installment,Finished,Madinaty
Apartment,4000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,220,Greater Than Q3 (  200  ) ,No,5,Cash,Finished,Raml Station
Apartment,406000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,78,Less Than or Equal to Q1 ( 127  ) ,No,1,Installment,Finished,Madinaty
Apartment,450000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,120,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash or Installment,Finished,Nakheel
Apartment,4600000,Greater Than Q3 ( 4100000 ) ,2,2,140,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash or Installment,Not Finished,Capital Gardens
Apartment,12000000,Greater Than Q3 ( 4100000 ) ,3,3,230,Greater Than Q3 (  200  ) ,No,1,Cash,Finished,Mivida
Duplex,580000,Less Than or Equal to Q1 ( 1200000 ) ,2,2,250,Greater Than Q3 (  200  ) ,No,5,Cash or Installment,Finished,Nakheel
Apartment,5400000,Greater Than Q3 ( 4100000 ) ,4,3,200,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash or Installment,Finished,Madinaty
Apartment,3200000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,220,Greater Than Q3 (  200  ) ,No,12,Cash,Finished,Sheraton
Duplex,2500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,3,350,Greater Than Q3 (  200  ) ,No,12,Cash,Finished,6th of October
Duplex,4500000,Greater Than Q3 ( 4100000 ) ,4,5,320,Greater Than Q3 (  200  ) ,No,11,Cash,Finished,Dokki
Apartment,1175000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,165,Between Q2(  160  )  and Q3 (  200  ) ,No,6,Cash,Core & Shell,El Fardous
Apartment,515092,Less Than or Equal to Q1 ( 1200000 ) ,3,3,155,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash or Installment,Semi Finished,New Capital City
Apartment,6300000,Greater Than Q3 ( 4100000 ) ,3,2,207,Greater Than Q3 (  200  ) ,No,3,Cash,Finished,Akoya
Apartment,5404570,Greater Than Q3 ( 4100000 ) ,3,3,151,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash or Installment,Finished,Capital Heights 2
Apartment,3300000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,180,Between Q2(  160  )  and Q3 (  200  ) ,No,4,Cash,Finished,Laurent
Apartment,1600000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,1,112,Less Than or Equal to Q1 ( 127  ) ,No,13,Cash,Finished,Smoha
Apartment,1220000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,1,100,Less Than or Equal to Q1 ( 127  ) ,No,12,Installment,Finished,Hadayek 6th of October
Apartment,1520000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,190,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash or Installment,Semi Finished,6th of October
Apartment,4455000,Greater Than Q3 ( 4100000 ) ,3,2,280,Greater Than Q3 (  200  ) ,No,2,Installment,Semi Finished,VYE Sodic
Apartment,1850000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,1,170,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash,Semi Finished,Obour City
Apartment,1935000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,168,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Installment,Not Finished,El Khamayel
Apartment,500000,Less Than or Equal to Q1 ( 1200000 ) ,1,1,56,Less Than or Equal to Q1 ( 127  ) ,No,12,Installment,Finished,Madinaty
Apartment,855000,Less Than or Equal to Q1 ( 1200000 ) ,3,3,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash or Installment,Finished,Madinaty
